site_id,lon,lat,R2_Snow,R2_No_Snow,elv,delta_R2
1AD,7.56070474337506,46.49204373346372,0.9261357634415324,0.956271426237108,1325,0.0301356627955756
1GD,8.064320039388347,46.65791751044939,0.9738088672211648,0.962445018501818,1950,-0.0113638487193468
1GS,7.278513918668599,46.37642923435198,0.952418557326576,0.960398142116024,1195,0.007979584789448
1GT,7.439942595241972,46.7176540707753,0.9613405580887808,0.9627680358186544,1510,0.0014274777298736
1LS,7.025101280615602,46.351930391923645,0.9147021235977036,0.9593460565916592,1300,0.0446439329939555
1MI,6.859421617429131,46.2362527240073,0.9640446965024316,0.967007091694098,1320,0.0029623951916664
1MR,7.89017793723737,46.55843631451694,0.9663801313052148,0.971791094702733,1650,0.0054109633975181
2AN,8.591907736660113,46.633196741379294,0.9785896542546614,0.9685446109796904,1440,-0.010045043274971
2RI,8.522628899850995,47.02728221787581,0.8940977486327922,0.9339937142036534,1640,0.0398959655708611
2ST,8.67454674056063,46.97428774903649,0.9639733547724278,0.9707939865733995,1280,0.0068206318009716
2TR,8.395284794828035,46.79146174127263,0.9787232045151354,0.9408612355902134,1780,-0.0378619689249219
3BR,8.98843051492013,46.93812827735294,0.9710087627886768,0.9664731100357336,1310,-0.0045356527529432
3EL,9.15202549778463,46.927475294849216,0.9360686594729748,0.965912534730985,1690,0.0298438752580102
3FB,9.294458023214435,47.08901143398257,0.9603176464591068,0.9713614088024444,1310,0.0110437623433375
3MB,9.608577555213026,47.10312236067426,0.9618103100877788,0.970008871770875,1610,0.0081985616830961
3SW,9.316537724595696,47.25663279046224,0.9418252932461194,0.913760015856888,1350,-0.0280652773892313
4BP,7.208337853888811,45.946093216768055,0.9499118335016984,0.9640841679717956,1670,0.0141723344700972
4FY,7.309103757790725,46.031396459558,0.9770355247572212,0.969253087776502,1500,-0.0077824369807192
4KU,8.104568820212451,46.415067817309215,0.9615130903984496,0.9564489199358556,2210,-0.0050641704625939
4MS,8.263750654763156,46.49044555461805,0.9855801943667128,0.9839773791395162,1410,-0.0016028152271966
4SF,7.926646988814435,46.10391758320916,0.9432978469144306,0.9358078951345904,1790,-0.0074899517798402
4UL,8.308268556809928,46.50486695564996,0.9672211856811408,0.9578081975945912,1345,-0.0094129880865495
4WI,7.78376350394202,46.40525401100661,0.9763134372858344,0.9711151384916704,1450,-0.005198298794164
4ZE,7.75061949962201,46.02375244306809,0.9615421716741868,0.9601789035501564,1600,-0.0013632681240303
5AR,9.682928584234268,46.79231201607408,0.9480006599678072,0.9559493374616276,1845,0.0079486774938203
5BI,9.651039020901749,46.46887434052683,0.9754928433468928,0.9747771805876848,1770,-0.0007156627592079
5DF,9.848286319948055,46.81270287501102,0.9701916833799388,0.9611408405930132,1560,-0.0090508427869255
5DI,8.854933143094215,46.7073338294382,0.9258711738084752,0.9373083563320056,1190,0.0114371825235304
5JU,9.57822281341292,46.44552318800372,0.9846550303756526,0.9727636892080086,2117,-0.011891341167644
5KK,9.887663455061164,46.86365897445096,0.9728631515578816,0.9628430351258916,1190,-0.0100201164319899
5RU,9.16449308762025,46.71044558248241,0.9194805533909048,0.9663549080328449,1200,0.04687435464194
5SE,8.768838356244457,46.67940069365642,0.9669023941760456,0.9727041922659464,1420,0.0058017980899007
5SP,9.328631025867075,46.55460479021774,0.960503230398194,0.9592664836291714,1457,-0.0012367467690225
5ZV,9.118795933148364,46.57877381066537,0.9655378945040132,0.956914820357762,1735,-0.0086230741462511
6NT,8.620086143136634,46.51829139190638,0.9527597808976892,0.9584220037949904,1412,0.0056622228973012
6RO,8.513016833095689,46.44243333160514,0.9838236091171378,0.9619430917978226,1890,-0.0218805173193152
6SB,9.184625702822652,46.46351013874551,0.9521714968199582,0.9672474580974296,1640,0.0150759612774714
7CO,9.82241016568344,46.43223160793876,0.8720092804410117,0.8727955920468293,2690,0.0007863116058176
7LD,10.190323225530705,46.65384774587077,0.9316049881717622,0.906113486344728,1710,-0.0254915018270341
7MA,9.697296809584143,46.39902804716854,0.9645320823332604,0.9670845400988962,1810,0.0025524577656358
7MT,10.2711600842459,46.81056003396029,0.9672175429315256,0.9570541361803004,2150,-0.0101634067512251
7SN,10.3952291768986,46.96053490756922,0.8752592560884354,0.9049969260709336,1750,0.0297376699824982
7ST,10.41934005439922,46.60005730524257,0.945314321201636,0.9439397951989148,1415,-0.0013745260027212
7ZU,9.962671842815714,46.604579081289714,0.9660192635090386,0.9592131106533062,1710,-0.0068061528557323
