site_id,R2
1AD,0.9482489310493843
1GD,0.9748033498510917
1GS,0.9634256755184104
1GT,0.970897458752118
1LS,0.9474410545126245
1MI,0.9689045508833566
1MR,0.975465771211483
2AN,0.9764020442098283
2RI,0.9359108905527201
2ST,0.972341520849213
2TR,0.9674909954627238
3BR,0.9726814234142747
3EL,0.9648200901086619
3FB,0.9719128202323767
3MB,0.970772869461366
3SW,0.9496170435603448
4BP,0.9629025649830856
4FY,0.9781729849727422
4KU,0.9690406676805314
4MS,0.9861830408716935
4SF,0.9452787077449807
4UL,0.966553386200078
4WI,0.9755998002815485
4ZE,0.9645355614658265
5AR,0.9602596322629001
5BI,0.9791900748433473
5DF,0.9703970865460022
5DI,0.933164695588149
5JU,0.9826396059605949
5KK,0.9711276609624427
5RU,0.9528448970117266
5SE,0.9727312985086874
5SP,0.9651504938798021
5ZV,0.9691341622041856
6NT,0.9627824141926913
6RO,0.9735844142625302
6SB,0.9663954956301354
7CO,0.9388930705990872
7LD,0.9371226365655325
7MA,0.9711351056961096
7MT,0.9679429755497204
7SN,0.9028087655011955
7ST,0.9513818485296566
7ZU,0.9652413754841346
